cod_IBGE;cidade;UF;latitude;longitude;venda_predita;vendas;pib_percapita;predominancia_pop_rural;populacao;IDHM
310440;ARGIRITA;MG;-21,6083;-42,8292;35592,0;87,00000000000003;15811,249999999995;0,0;2680,9999999999995;0,643
310445;ARICANDUVA;MG;-17,8666;-42,5533;48870,0;135,00000000000006;13403,58;1,0;5304,999999999996;0,5819999999999999
310450;ARINOS;MG;-15,9187;-46,1043;944,0;3,999999999999999;18269,73000000001;0,0;17850,0;0,6559999999999999
310460;ASTOLFO DUTRA;MG;-21,3184;-42,8572;1733,0;5,0;22242,91999999999;0,0;14357,999999999996;0,694
310470;ATALÉIA;MG;-18,0438;-41,1149;4278,0;14,0;16973,690000000006;1,0;12496,000000000005;0,5879999999999999
310480;AUGUSTO DE LIMA;MG;-18,0997;-44,2655;11565,0;36,99999999999999;16016,749999999995;0,0;4832,999999999997;0,6559999999999999
310490;BAEPENDI;MG;-21,957;-44,8874;1348,0;5,0;19729,410000000014;0,0;19248,999999999996;0,681
310500;BALDIM;MG;-19,2832;-43,9613;1067,0;3,0;24317,75000000001;0,0;7780,000000000004;0,671
310510;BAMBUÍ;MG;-20,0166;-45,9754;1832,0;5,0;31555,139999999985;0,0;23963,999999999985;0,7409999999999999
310520;BANDEIRA;MG;-15,8783;-40,5622;214166,0;141,00000000000003;12543,599999999993;1,0;4737,999999999996;0,599
310530;BANDEIRA DO SUL;MG;-21,7308;-46,3833;105909,0;635,9999999999999;15941,400000000012;0,0;5808,0000000000055;0,692
310540;BARÃO DE COCAIS;MG;-19,9389;-43,4755;4967,0;17,999999999999996;38727,77;0,0;33231,99999999998;0,722
310550;BARÃO DE MONTE ALTO;MG;-21,2444;-42,2372;33064,0;69,00000000000003;12442,439999999995;0,0;5311,000000000005;0,649
310560;BARBACENA;MG;-21,2214;-43,7703;5093,0;18,999999999999996;26752,520000000008;0,0;139060,9999999999;0,7690000000000001
310570;BARRA LONGA;MG;-20,2869;-43,0402;45219,0;117,00000000000004;16675,769999999993;1,0;4905,000000000002;0,6239999999999999
310590;BARROSO;MG;-21,1907;-43,972;1428,0;3,999999999999999;27426,37;0,0;20981,0;0,734
310600;BELA VISTA DE MINAS;MG;-19,8302;-43,0922;3330,0;11,0;36272,01000000001;0,0;10268,999999999998;0,6740000000000002
310610;BELMIRO BRAGA;MG;-21,944;-43,4084;1548,0;6,999999999999998;19804,31000000001;1,0;3422,0000000000014;0,6599999999999999
310620;BELO HORIZONTE;MG;-19,9102;-43,9266;5165,0;20,0;45024,89999999997;0,0;2530700,9999999986;0,81
310630;BELO ORIENTE;MG;-19,2199;-42,4828;4977,0;17,999999999999996;80946,33999999994;0,0;27277,00000000001;0,6860000000000002
310640;BELO VALE;MG;-20,4077;-44,0275;1059,0;3,0;31507,489999999998;1,0;7722,999999999995;0,655
310650;BERILO;MG;-16,9567;-42,4606;219568,0;157,00000000000003;10411,030000000008;1,0;11812,999999999995;0,6279999999999999
310660;BERTÓPOLIS;MG;-17,059;-40,58;29664,0;78,99999999999997;11595,949999999992;0,0;4609,000000000001;0,5939999999999999
310665;BERIZAL;MG;-15,61;-41,7432;23305,0;68,00000000000001;13272,82000000001;0,0;4792,000000000001;0,6040000000000001
310670;BETIM;MG;-19,9668;-44,2008;5127,0;20,0;68545,28999999995;0,0;450023,9999999999;0,7489999999999999
310680;BIAS FORTES;MG;-21,602;-43,7574;102157,0;154,00000000000003;12841,859999999993;1,0;3282,0000000000027;0,6200000000000001
310690;BICAS;MG;-21,7232;-43,056;1538,0;5,0;22089,76;0,0;14612,000000000011;0,744
310700;BIQUINHAS;MG;-18,7754;-45,4974;1355,0;5,0;24296,509999999977;0,0;2481,999999999999;0,688
310710;BOA ESPERANÇA;MG;-21,0927;-45,5612;1545,0;3,999999999999999;26805,320000000014;0,0;15146,00000000001;0,704
310720;BOCAINA DE MINAS;MG;-22,1697;-44,3972;39752,0;105,99999999999996;15826,219999999987;1,0;5088,0;0,645
310730;BOCAIÚVA;MG;-17,1135;-43,8104;8406,0;26,0;24352,829999999984;0,0;50521,00000000002;0,7
310740;BOM DESPACHO;MG;-19,7386;-45,2622;14515,0;37,99999999999999;32979,48;0,0;51435,99999999999;0,75
